--------------------------------------------------------------------------------
Marvellous Process Logger : Fri Apr 26 00:25:58 2019
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'chrome.exe', 'pid': 11948, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 20.54296875}
{'name': 'svchost.exe', 'pid': 12000, 'username': None, 'vms': 6.16015625}
{'name': 'fontdrvhost.exe', 'pid': 12008, 'username': None, 'vms': 8.671875}
{'name': 'python.exe', 'pid': 12032, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 10.4296875}
{'name': 'NisSrv.exe', 'pid': 12080, 'username': None, 'vms': 15.17578125}
{'name': 'RuntimeBroker.exe', 'pid': 12104, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.86328125}
{'name': 'plugin_host.exe', 'pid': 12264, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 17.53515625}
{'name': 'BitTorrent.exe', 'pid': 12356, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 13.78515625}
{'name': 'svchost.exe', 'pid': 12656, 'username': None, 'vms': 9.25}
{'name': 'igfxEM.exe', 'pid': 12996, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 7.02734375}
{'name': 'svchost.exe', 'pid': 13228, 'username': None, 'vms': 3.25390625}
{'name': 'chrome.exe', 'pid': 13548, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 131.47265625}
{'name': 'svchost.exe', 'pid': 13672, 'username': None, 'vms': 1.86328125}
{'name': 'RuntimeBroker.exe', 'pid': 13796, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 6.8828125}
{'name': 'jusched.exe', 'pid': 13852, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 3.57421875}
{'name': 'csrss.exe', 'pid': 13972, 'username': None, 'vms': 2.6328125}
{'name': 'cmd.exe', 'pid': 14116, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 2.6171875}
{'name': 'chrome.exe', 'pid': 14168, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 37.59375}
{'name': 'svchost.exe', 'pid': 14320, 'username': None, 'vms': 1.80078125}
{'name': 'RemindersServer.exe', 'pid': 14332, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 7.9609375}
{'name': 'MicrosoftEdgeCP.exe', 'pid': 14396, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 5.2109375}
{'name': 'chrome.exe', 'pid': 14452, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 2.06640625}
{'name': 'dwm.exe', 'pid': 14552, 'username': None, 'vms': 59.6171875}
{'name': 'chrome.exe', 'pid': 14628, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 1.94921875}
{'name': 'bittorrentie.exe', 'pid': 14928, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 32.1171875}
{'name': 'LockApp.exe', 'pid': 15028, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 12.4609375}
{'name': 'RuntimeBroker.exe', 'pid': 15256, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 7.99609375}
